reference,clip_id,clip_voyage_id,clip_image_filename,clip_scale,clip_rotation,clip_translation_x,clip_translation_y,clip_clip_x1,clip_clip_y1,clip_clip_width,clip_clip_height,image_path,pixel_x,pixel_y,pixel_width,pixel_height
123/26*,1770,39661,E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0248.JPG,0.9639499835,0.00,-1579,-274,13,42,1503,567,123_26*/E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0248.JPG,1590.7,283.0,1559.2,588.2
123/26*,1772,39663,E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0249.JPG,1.0288368924,0.00,62,-1205,103,92,1569,320,123_26*/E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0249.JPG,85.7,1295.1,1525.0,311.0
123/26*,1771,39662,E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0249.JPG,0.9447538038,0.00,-1245,-888,342,187,1475,328,123_26*/E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0249.JPG,1584.1,1066.0,1561.3,347.2
123/26*,1773,39664,E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0249.JPG,1.0288368924,0.00,-1397,-1065,221,365,1554,338,123_26*/E 190_123_26* Port: Poole Customs book of Arthur Gregory. 24 Mar 1604 - 23 Mar 1606 IMG_0249.JPG,1618.5,1424.4,1510.4,328.5
186/2,320,38156,E 190_186_2 THE PORT OF NEWCASTLE. Port: Hartlepool and Stockton Official: Surveyor Coastal. 29 Sep 1601 - 29 Sep 1602 IMG_5669.JPG,0.6250000000,91.00,-635,-494,335,131,1137,337,186_2/E 190_186_2 THE PORT OF NEWCASTLE. Port: Hartlepool and Stockton Official: Surveyor Coastal. 29 Sep 1601 - 29 Sep 1602 IMG_5669.JPG,630.4,308.8,1819.2,539.2
814/10,302,38139,E 190_814_10 Southampton 29 Sep 1575 - 29 Sep 1576 (13).JPG,0.9362439361,0.00,-1913,-1236,387,432,1244,240,814_10/E 190_814_10 Southampton 29 Sep 1575 - 29 Sep 1576 (13).JPG,2308.4,1670.5,1328.7,256.3
814/10,303,38140,E 190_814_10 Southampton 29 Sep 1575 - 29 Sep 1576 (14).JPG,0.8597281324,-3.00,-1937,-2115,392,233,1076,241,814_10/E 190_814_10 Southampton 29 Sep 1575 - 29 Sep 1576 (14).JPG,2354.0,2464.8,1251.6,280.3
814/11,300,38136,E 190_814_11 Southampton 03 Apr 1575 - 29 Sep 1575 (3).JPG,1.3570471994,6.00,-2455,45,13,42,1728,403,814_11/E 190_814_11 Southampton 03 Apr 1575 - 29 Sep 1575 (3).JPG,2391.2,427.2,1273.4,297.0
814/12,301,38138,E 190_814_12 Southampton 29 Sep 1575 - 22 Apr 1576 (4).JPG,0.9457009456,0.00,-2049,-1250,333,397,1206,224,814_12/E 190_814_12 Southampton 29 Sep 1575 - 22 Apr 1576 (4).JPG,2393.8,1647.9,1275.2,236.9
814/12,304,38141,E 190_814_12 Southampton 29 Sep 1575 - 22 Apr 1576 (7).JPG,0.8597281324,0.00,-517,-789,224,390,1452,216,814_12/E 190_814_12 Southampton 29 Sep 1575 - 22 Apr 1576 (7).JPG,506.9,1105.1,1688.9,251.2
