voyage_id,voyage_reference,voyage_folio,voyage_rectoverso,voyage_seq,voyage_i_o,voyage_certcoq,voyage_date,voyage_serial,voyage_date_other,voyage_duty,voyage_vessel_name,voyage_vessel_home,voyage_vessel_burthen,voyage_master_forename,voyage_master_surname,voyage_from,voyage_to,voyage_date_iso,cargo_id,cargo_merchant_forename,cargo_merchant_surname,cargo_merchant_occupation,cargo_merchant_abode,cargo_miscellanea,cargo_marginalia,cargo_tonnage,good_id,good_qty,good_measure,good_commodity,good_description,n_clips,clip_image_filenames
1,1129/15,2,,1,OUT,0,15751003,0,0,,Cherubin,Awre,6,Thomas,Bowery,Gloucester,Cardiff,1575-10-03,1,Thomas,Franckombe,merchant,County of Gloucester,burthen 6 ton merchant = merchant of the county of gloucester,,,1,6,wey,brasei hordei,,0,
2,1129/15,2,,2,OUT,0,15751005,0,0,,Valentine,Newnham,6,Richard,Bowery,Gloucester,Cardiff,1575-10-05,2,Matthew,Davis,merchant,Elmore,burthen 6 ton mer = merchant of ellmore in the county of gloucester,,,2,4,wey,brasei hordei,,0,
3,1129/15,2,,3,OUT,0,15751015,0,0,,Elizabeth,Gloucester,14,William,Tiler,Gloucester,Newport,1575-10-15,3,William,Tiler,innholder,Gloucester,burthen 14 ton mer = innholder of gloucester,,,3,7,wey,brasei hordei,,0,
3,1129/15,2,,3,OUT,0,15751015,0,0,,Elizabeth,Gloucester,14,William,Tiler,Gloucester,Newport,1575-10-15,3,William,Tiler,innholder,Gloucester,burthen 14 ton mer = innholder of gloucester,,,4,20,c,bisket,,0,
4,1129/15,2,,4,OUT,0,15751017,0,0,,George,Newnham,10,Thomas,Franckombe,Gloucester,Cardiff,1575-10-17,4,Thomas,Shapard,merchant,County of Gloucester,burthen 10 ton merchant = merchant of the county of gloucester,,,5,6,wey,brasei hordei,,0,
5,1129/15,2,,5,OUT,0,15751019,0,0,,Margaret,Tewkesbury,14,John,Russell,Tewkesbury,Bristol,1575-10-19,5,John,Russell,maltmaker,Tewkesbury,burthen 14 ton merchant = of tewkesbury maltmaker master = the same,,,6,15,wey,brasei hordei,,0,
6,1129/15,2,,6,OUT,0,15751020,0,0,,Trinity,Gloucester,12,William,Robbins,Gloucester,Carmarthen,1575-10-20,6,Thomas,Franckombe,merchant,Gloucester,burthen 12 ton merchant = merchantof gloucester,,,7,6,wey,brasei hordei,,0,
7,1129/15,2,,7,OUT,0,15751024,0,0,,Ann,Marles,16,David,Doven,Gloucester,Carmarthen,1575-10-24,7,John,Tailor,maltmaker,Gloucester,burthen 16 ton merchant = maltmaker of gloucester,,,8,15,wey,brasei hordei,,0,
8,1129/15,2,,8,OUT,0,15751026,0,0,,Peter,Worcester,18,John,Butler,Gloucester,Cardiff,1575-10-26,8,John,Butler,gentleman,Tewkesbury,burthen 18 ton merchant = gent of tewkesbury master = the same,,,9,17,wey,brasei hordei,,0,
8,1129/15,2,,8,OUT,0,15751026,0,0,,Peter,Worcester,18,John,Butler,Gloucester,Cardiff,1575-10-26,8,John,Butler,gentleman,Tewkesbury,burthen 18 ton merchant = gent of tewkesbury master = the same,,,10,1,ton,metheglin,,0,
